Participant_ID,Presentation_Order,Song_File,Original_Participant,File_Path,Duration_Seconds,Randomization_Seed
3,4,3-2_proc.wav,3,music_stim/preprocesed/3/3-2_proc.wav,227.09116666666668,2933272670
3,5,2-2_proc.wav,2,music_stim/preprocesed/2/2-2_proc.wav,397.3166458333333,2933272670
3,6,5-1_proc.wav,5,music_stim/preprocesed/5/5-1_proc.wav,237.07575,2933272670
3,7,5-3_proc.wav,5,music_stim/preprocesed/5/5-3_proc.wav,232.338875,2933272670
3,8,4-1_proc.wav,4,music_stim/preprocesed/4/4-1_proc.wav,198.135875,2933272670
3,9,4-3_proc.wav,4,music_stim/preprocesed/4/4-3_proc.wav,217.4084375,2933272670
3,10,2-1_proc.wav,2,music_stim/preprocesed/2/2-1_proc.wav,0.008708333333333334,2933272670
3,11,4-2_proc.wav,4,music_stim/preprocesed/4/4-2_proc.wav,301.0699375,2933272670
3,12,5-2_proc.wav,5,music_stim/preprocesed/5/5-2_proc.wav,228.94877083333333,2933272670
3,13,1-3_proc.wav,1,music_stim/preprocesed/1/1-3_proc.wav,243.22904166666666,2933272670
3,14,3-3_proc.wav,3,music_stim/preprocesed/3/3-3_proc.wav,253.28327083333335,2933272670
3,15,3-1_proc.wav,3,music_stim/preprocesed/3/3-1_proc.wav,229.13452083333334,2933272670
4,1,2-2_proc.wav,2,music_stim/preprocesed/2/2-2_proc.wav,397.3166458333333,3727479855
4,2,2-3_proc.wav,2,music_stim/preprocesed/2/2-3_proc.wav,363.472125,3727479855
4,3,1-2_proc.wav,1,music_stim/preprocesed/1/1-2_proc.wav,252.42414583333334,3727479855
4,4,4-1_proc.wav,4,music_stim/preprocesed/4/4-1_proc.wav,198.135875,3727479855
4,5,4-3_proc.wav,4,music_stim/preprocesed/4/4-3_proc.wav,217.4084375,3727479855
4,6,1-3_proc.wav,1,music_stim/preprocesed/1/1-3_proc.wav,243.22904166666666,3727479855
4,7,4-2_proc.wav,4,music_stim/preprocesed/4/4-2_proc.wav,301.0699375,3727479855
4,8,5-3_proc.wav,5,music_stim/preprocesed/5/5-3_proc.wav,232.338875,3727479855
4,9,3-2_proc.wav,3,music_stim/preprocesed/3/3-2_proc.wav,227.09116666666668,3727479855
4,10,5-1_proc.wav,5,music_stim/preprocesed/5/5-1_proc.wav,237.07575,3727479855
4,11,2-1_proc.wav,2,music_stim/preprocesed/2/2-1_proc.wav,0.008708333333333334,3727479855
4,12,3-3_proc.wav,3,music_stim/preprocesed/3/3-3_proc.wav,253.28327083333335,3727479855
4,13,1-1_proc.wav,1,music_stim/preprocesed/1/1-1_proc.wav,379.25152083333336,3727479855
4,14,5-2_proc.wav,5,music_stim/preprocesed/5/5-2_proc.wav,228.94877083333333,3727479855
4,15,3-1_proc.wav,3,music_stim/preprocesed/3/3-1_proc.wav,229.13452083333334,3727479855
5,1,5-1_proc.wav,5,music_stim/preprocesed/5/5-1_proc.wav,237.07575,3194435888
5,2,1-3_proc.wav,1,music_stim/preprocesed/1/1-3_proc.wav,243.22904166666666,3194435888
5,3,1-2_proc.wav,1,music_stim/preprocesed/1/1-2_proc.wav,252.42414583333334,3194435888
5,4,3-2_proc.wav,3,music_stim/preprocesed/3/3-2_proc.wav,227.09116666666668,3194435888
5,5,4-1_proc.wav,4,music_stim/preprocesed/4/4-1_proc.wav,198.135875,3194435888
5,6,4-2_proc.wav,4,music_stim/preprocesed/4/4-2_proc.wav,301.0699375,3194435888
5,7,1-1_proc.wav,1,music_stim/preprocesed/1/1-1_proc.wav,379.25152083333336,3194435888
5,8,2-3_proc.wav,2,music_stim/preprocesed/2/2-3_proc.wav,363.472125,3194435888
5,9,4-3_proc.wav,4,music_stim/preprocesed/4/4-3_proc.wav,217.4084375,3194435888
5,10,5-2_proc.wav,5,music_stim/preprocesed/5/5-2_proc.wav,228.94877083333333,3194435888
5,11,3-1_proc.wav,3,music_stim/preprocesed/3/3-1_proc.wav,229.13452083333334,3194435888
5,12,2-2_proc.wav,2,music_stim/preprocesed/2/2-2_proc.wav,397.3166458333333,3194435888
5,13,3-3_proc.wav,3,music_stim/preprocesed/3/3-3_proc.wav,253.28327083333335,3194435888
5,14,5-3_proc.wav,5,music_stim/preprocesed/5/5-3_proc.wav,232.338875,3194435888
5,15,2-1_proc.wav,2,music_stim/preprocesed/2/2-1_proc.wav,0.008708333333333334,3194435888
